Part Name,Quantity,Price (USD),Source,Link,Notes
Switchcraft #11 Mono 1/4in Output Jack,1,$9.75,Amazon,https://www.amazon.com/SWITCHCRAFT-11-Female-Panel-Mount/dp/B0CPZCXMK7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.lHayjPiCi7Dy7L4DCK_0LTMP1DBp1RMJBckUz9zmCE6gw9UKLJMAXkRew7DwaLsYt4Cpjssp2kvGyHv89LLfhkewIXTBbic5H4hmgVDA0RliG_-pkdqVgTWktNEcH_n_Ft52v9MvF_a5eAyUX7aANepL7YlZjUBL3cz9Q6vKeAe0HUub2pPv9vVWyltKLEU5h4XJfMq8WIXN_f7VgwMRB4xBdAQ1wyPtXs2r_cZWUXA.mVa6ej3sQhSf7iEj8iKYoN2xOPiXtAfyPUBU8X9OozM&dib_tag=se&keywords=Switchcraft-11-Mono-Phone-Jack&qid=1774974623&sr=8-2,Line output. 3/8-32 thread. 9.53mm hole
3.5mm Panel Mount Stereo Jack,1,$5.99,Amazon,https://www.amazon.com/BLLNDX-Stereo-Female-Headphone-Connector/dp/B09B7JKSQ1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.DVnxm0V_KCo3myTaSMrvTij6TiLkbX8m6grnEhPUyZ2OG_SMQ-wYK0pXJa-VM-0mE8sSqxrig8tt2mkcdLi4YWTCjUCIqIgsQz7DUNoc_LBa77oVqGKDORlKSTT9RYT12t0i2LyF65Wsdxvbzk-4_24D0S4vtyzUZO60ngspfUtbP97re4WxW2xQr2mPgoxFmbsMlFL223K94dbl_nOiCI49KorkcmBS4yMm7rc8cARo4FihFXzyx2voCwgmAR_AoH2b3C1dshJMnJlKkRl_1xTeWQ0nrCccJqy4pcgNIMo.mgwnqeUBPlErkjtbT8JkJSZgzHUeHJzdFW6xA9qIe3M&dib_tag=se&keywords=3.5mm+Panel+Mount+Stereo+Jack&qid=1774974672&s=electronics&sr=1-4,Headphone output. Measure before finalizing CAD hole
Schaller S-Locks Strap Locks (Pair Chrome),1,$32.49,Amazon,https://www.amazon.com/Schaller-Locks-Guitar-Buttons-Chrome/dp/B07F7DSBYW,Size M 4.0mm thread for PA6-CF body
Fender-Style Bass Neck Plate (4-bolt),1,$11.49,Amazon,https://www.amazon.com/Fender-4-Bolt-Vintage-Style-Plate-Plain/dp/B0002KZF8U/ref=sr_1_2?dib=eyJ2IjoiMSJ9.d36rcoD9zcVUhc6WrSKCOWYvUFTSfO9HX1SO8M4qE9NZs9E0X4cg7w2t7WB-NseCsWpElI8rMK5aZ7weXMRy294tEm39uAEGcgZYOwyy03gIR-UueYl3M2zg-iEzdh9LJPTjSPvTKXhMPhPYrwwWub7H1PQetIA35xIJoJXCCM_0D65aOeEew4ra-dm_EJPO8P_SO7QCMBcOxbKaUuZtYZJiOLJSZmpa_fYsz5cGRM1u8qWKGuRPfN0X_jVvjlXJ8onpG6vShpN9EvXjT_AkPqJ8zBe77gt1TWMDyfYQ28Y.PuDFLet-7y4W374dwrRcLwUwhF1FGmq9F2yJvgwxFwc&dib_tag=se&keywords=fender%2Bbass%2Bneck%2Bplate%2B4%2Bbolt&qid=1774974718&sr=8-2&th=1,Distributes bolt force on 3D-printed body
18650 Li-Ion Battery,1,$7.74,AliExpress,https://www.aliexpress.us/item/3256811753613609.html,3.7V rechargeable.
Bass Guitar Strings 45-105,1,$0.00,Will get in person,,Standard 34in scale roundwound
Pot Knobs 1/4in Solid Shaft (set of 3+),1,$7.64,Amazon,https://www.amazon.com/gonymask-Control-Telecaster-PaulGuitar-Accessories/dp/B0F64W28K5/ref=sr_1_10?dib=eyJ2IjoiMSJ9.J_3V0s4CeF34vhvSAepaBMzqKfcXhgLt-vhIipFarcg4qhjy1LmZ1SkyGsOjpbZgRX0--pOGOSH91JNX2ogKcP095DiVrz9sZxM7ALbszNWhrU9xa-uVU-rHwzcikPSJR_gstOWDrXBRCTlt-93ueib7zl6syPWVX8abZrQeF346nZXSM1WjPAJdho-WjenqXeV_wyAo-dQ_WeRIUJuKKdabJtWmzgc7CwwkbpWJR7LDsJ6C8fm3QmWmqnUFH8vNxr-bTnAxqa1vJhic6AzEv1_3m5DwQtr-SMK-ThYDLY0.x0UJPxX5uNJpi4MUK5MHy1fThuwpZAiqXqA0txn-c_M&dib_tag=se&keywords=guitar%2Bpot%2Bknobs%2Bsolid%2Bshaft%2Bset%2Bscrew&qid=1774974961&sr=8-10&th=1,For volume + bass + treble pots
M3 Heat-Set Inserts (50 pack),1,$0.00,From previous project,,Bridge(5) pickup(4) covers(~12) battery(4). ~25 needed
M4 Heat-Set Inserts (10+ pack),1,$0.00,From previous project,,Neck mounting x4. M4 x 12mm depth
M3 Machine Screws Assorted Kit,1,$9.99,Amazon,amazon.com/Fgruh-750PCS-Assortment-Washers-Assorted/dp/B0FGV5FCBN/ref=sr_1_1_sspa?dib=eyJ2IjoiMSJ9.TEeF4awxyePoe3vNhqiBQr0P_DmHv8ymUY8Qqx9WQ1FUXAzHaqn7Y8y5g9azicuwQtHiXo6NQLmPv56URUvkhMUymaUDJFJvw-HmGF4NkiRx3JDhtSwcc84dLESBAIK-02oN7P5qS4EYkA_d_vIJnD2VUQ23f98Jo7s_LfoW4BGmwW6VNMbu751flLsCLy78MkTjO58lVkEH-jfCIarzY39CZAPClaqvW_Afgxvuag4.491EHZPTOLb2_PdZ3IK-6gZMYVEv3uiP9oqsxlO1m2U&dib_tag=se&keywords=M3+machine+screw+assortment+kit&qid=1774975024&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,Bridge + pickup + cavity cover mounting
M4 x 45mm Machine Screws (x4),4,$2.96,AliExpress,https://www.aliexpress.us/item/3256804067895917.html,m4 x 45
Gorilla 2-Part Epoxy,1,$5.97,Amazon,https://www.amazon.com/Gorilla-Part-Epoxy-Minute-ounce/dp/B001Z3C3AG?th=1,Bonding center piece to wing pieces
Micro-Mesh Sanding Kit,1,$18.19,Amazon,https://www.amazon.com/Micro-Mesh-Pen-Sanding-Kit/dp/B0037MEIT2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.swXUTGyuM5Fn48wf6OItkOAqVGGDhK8I_t1YCZPXYBjO86RtOM77-ah7kYJlf49Q2kJ42tP1UGvCblZu5k6vfRnUpfcv6zlG4OeLU8Stg0WJQu4Zmn8bIlHxCXkFx5QGZX88TtY8HPZuZgkfQ2t_CF5ev_Abqzbls_3_05XJzmPSPLG9Binlh3RzTwZalUZnEMtxuevHHX3_J4hqik2Ccc048-eadk1V2kKuROhSMqE.IJ5RwI3_22UXBh-UFRSrIoyVn3SH2RTv-MXEFGg4Mt8&dib_tag=se&keywords=Micro-Mesh+Sanding+Kit&qid=1774975518&sr=8-3,Finishing wood PLA. 220-1500 grit
Danish Oil (pint),1,$0.00,Borrowed from teacher,,Finish for wood PLA wings
PA6-CF Filament (center piece),1,$0.00,Printing Legion,,
Wood PLA Filament (wings),1,$0.00,Printing Legion,,
Warmoth P-Bass Neck (4-string 34in scale),1,$0.00,Donated,https://warmoth.com,Donated by Warmoth Guitar Products. Standard Fender P-bass geometry
